individual,timestamp_local,timezone,longitude,latitude,UTMeasting,UTMnorthing,UTMzone
Romeo,2002-04-28T01:04:00Z,Eastern African Time,38.87065167,-3.78817667,485637.9947924298,9581285.465733133,37S
Romeo,2002-04-28T07:03:00Z,Eastern African Time,38.929925,-3.800805,492219.44111321546,9579890.350116856,37S
Romeo,2002-04-28T14:03:00Z,Eastern African Time,38.92913667,-3.80072667,492131.91059830406,9579899.001187796,37S
Romeo,2002-04-28T21:03:00Z,Eastern African Time,38.93245167,-3.80076167,492499.98178752966,9579895.161932603,37S
Romeo,2002-04-29T04:03:00Z,Eastern African Time,38.93510667,-3.80006167,492794.76575434604,9579972.559012394,37S
Romeo,2002-04-29T11:04:00Z,Eastern African Time,38.93576167,-3.79967667,492867.48856303,9580015.120415114,37S
Romeo,2002-04-29T19:03:00Z,Eastern African Time,38.93766,-3.79953833,493078.26295620773,9580030.427253826,37S
Romeo,2002-04-30T01:03:00Z,Eastern African Time,38.941715,-3.79895333,493528.49365873175,9580095.121621087,37S
Romeo,2002-04-30T15:03:00Z,Eastern African Time,38.94081,-3.7843,493427.89891766856,9581714.820021426,37S
Romeo,2002-04-30T22:03:00Z,Eastern African Time,38.927025,-3.80612,491897.4981307321,9579302.829842966,37S
Romeo,2002-05-01T05:04:00Z,Eastern African Time,38.96854,-3.833285,496507.0690264742,9576300.425740028,37S
Romeo,2002-05-01T12:03:00Z,Eastern African Time,38.96850333,-3.83393833,496503.00029506604,9576228.20974302,37S
Romeo,2002-05-01T19:03:00Z,Eastern African Time,38.968305,-3.83456833,496480.98276473675,9576158.571864547,37S
Romeo,2002-05-02T02:02:00Z,Eastern African Time,38.96400833,-3.831845,496003.921451618,9576459.576379059,37S
Romeo,2002-05-02T16:04:00Z,Eastern African Time,38.94022,-3.78441667,493362.38973586215,9581701.919420928,37S
Romeo,2002-05-02T23:03:00Z,Eastern African Time,38.93944833,-3.786425,493276.7236152324,9581479.9228353,37S
