species,individual,longitude,latitude,UTMeasting,UTMnorthing,UTMzone,timestampUTC,timestamp_local,timezone,daynight
Puma concolor,F64,-111.9422461,38.5600436,417905.5626361653,4268376.7854826525,12N,2014-02-12T20:23:49Z,2014-02-12T13:23:49Z,Mountain Standard Time,1
Puma concolor,F64,-111.9422844,38.5599953,417902.170681565,4268371.460032211,12N,2014-02-12T23:01:36Z,2014-02-12T16:01:36Z,Mountain Standard Time,1
Puma concolor,F64,-111.9417464,38.5601806,417949.256313033,4268391.5416094465,12N,2014-02-13T03:01:53Z,2014-02-12T20:01:53Z,Mountain Standard Time,0
Puma concolor,F64,-111.9406169,38.5574389,418044.55379960244,4268086.298246388,12N,2014-02-13T07:02:29Z,2014-02-13T00:02:29Z,Mountain Standard Time,0
Puma concolor,F64,-111.9345742,38.5586278,418572.40299958526,4268212.854981387,12N,2014-02-13T11:01:26Z,2014-02-13T04:01:26Z,Mountain Standard Time,0
Puma concolor,F64,-111.9404333,38.5664828,418070.8201390029,4269089.700881871,12N,2014-02-13T23:01:20Z,2014-02-13T16:01:20Z,Mountain Standard Time,1
Puma concolor,F64,-111.9279864,38.5700422,419159.18606552243,4269473.650127273,12N,2014-02-14T03:01:36Z,2014-02-13T20:01:36Z,Mountain Standard Time,0
Puma concolor,F64,-111.9279069,38.5736503,419170.15495821234,4269873.95731908,12N,2014-02-14T07:01:48Z,2014-02-14T00:01:48Z,Mountain Standard Time,0
Puma concolor,F64,-111.92788,38.5737222,419172.5788305151,4269881.912126759,12N,2014-02-14T11:01:23Z,2014-02-14T04:01:23Z,Mountain Standard Time,0
Puma concolor,F64,-111.9275869,38.5736,419197.9743148088,4269868.094254803,12N,2014-02-14T15:01:04Z,2014-02-14T08:01:04Z,Mountain Standard Time,1
Puma concolor,F64,-111.9286978,38.5753875,419103.2068607595,4270067.423960164,12N,2014-02-14T19:01:04Z,2014-02-14T12:01:04Z,Mountain Standard Time,1
Puma concolor,F64,-111.9276617,38.5737819,419191.6621528153,4269888.344794977,12N,2014-02-14T23:02:17Z,2014-02-14T16:02:17Z,Mountain Standard Time,1
Puma concolor,F64,-111.9281583,38.5736514,419148.2563403419,4269874.300574485,12N,2014-02-15T07:01:19Z,2014-02-15T00:01:19Z,Mountain Standard Time,0
Puma concolor,F64,-111.9276964,38.5737294,419188.5805668776,4269882.549586877,12N,2014-02-15T11:01:21Z,2014-02-15T04:01:21Z,Mountain Standard Time,0
Puma concolor,F64,-111.92829,38.5752019,419138.5220259009,4270046.469638486,12N,2014-02-15T15:01:42Z,2014-02-15T08:01:42Z,Mountain Standard Time,1
Puma concolor,F64,-111.9282858,38.5739292,419137.4610525575,4269905.239197302,12N,2014-02-15T23:01:20Z,2014-02-15T16:01:20Z,Mountain Standard Time,1
Puma concolor,F64,-111.9278978,38.5737208,419171.02667710907,4269881.772432827,12N,2014-02-16T03:01:22Z,2014-02-15T20:01:22Z,Mountain Standard Time,0
Puma concolor,F64,-111.9274472,38.5735539,419210.09217519773,4269862.85586612,12N,2014-02-16T07:01:17Z,2014-02-16T00:01:17Z,Mountain Standard Time,0
Puma concolor,F64,-111.92809,38.5736056,419154.1547262622,4269869.158221938,12N,2014-02-16T11:01:21Z,2014-02-16T04:01:21Z,Mountain Standard Time,0
Puma concolor,F64,-111.9279917,38.5739561,419163.1106167867,4269907.965396992,12N,2014-02-16T23:01:55Z,2014-02-16T16:01:55Z,Mountain Standard Time,1
Puma concolor,F64,-111.9276606,38.5738836,419191.87191340467,4269899.6290932065,12N,2014-02-17T03:00:59Z,2014-02-16T20:00:59Z,Mountain Standard Time,0
Puma concolor,F64,-111.9276397,38.5739439,419193.76009424275,4269906.3019758295,12N,2014-02-17T19:01:19Z,2014-02-17T12:01:19Z,Mountain Standard Time,1
Puma concolor,F64,-111.9277444,38.5737883,419184.46520933264,4269889.127716108,12N,2014-02-17T23:01:20Z,2014-02-17T16:01:20Z,Mountain Standard Time,1
Puma concolor,F64,-111.9276725,38.5738756,419190.8263261955,4269898.751829375,12N,2014-02-18T03:00:59Z,2014-02-17T20:00:59Z,Mountain Standard Time,0
Puma concolor,F64,-111.9276111,38.57387,419196.16868674266,4269898.076418771,12N,2014-02-18T07:01:15Z,2014-02-18T00:01:15Z,Mountain Standard Time,0
Puma concolor,F64,-111.9317844,38.5902669,418851.08205051126,4271721.260030938,12N,2014-02-18T23:01:19Z,2014-02-18T16:01:19Z,Mountain Standard Time,1
Puma concolor,F64,-111.9302861,38.59142,418982.867274572,4271847.892865002,12N,2014-02-19T03:01:08Z,2014-02-18T20:01:08Z,Mountain Standard Time,0
Puma concolor,F64,-111.9311381,38.5931978,418910.66650237323,4272045.9211799195,12N,2014-02-19T11:01:22Z,2014-02-19T04:01:22Z,Mountain Standard Time,0
Puma concolor,F64,-111.92659,38.5992278,419313.50242622284,4272711.044177673,12N,2014-02-19T15:01:21Z,2014-02-19T08:01:21Z,Mountain Standard Time,1
Puma concolor,F64,-111.912565,38.6030011,420538.96926776273,4273117.524715061,12N,2014-02-19T23:01:20Z,2014-02-19T16:01:20Z,Mountain Standard Time,1
Puma concolor,F64,-111.8841353,38.6140681,423026.3383577036,4274321.372665633,12N,2014-02-20T03:01:01Z,2014-02-19T20:01:01Z,Mountain Standard Time,0
Puma concolor,F64,-111.8725067,38.6090464,424033.4571413229,4273754.445626901,12N,2014-02-20T07:01:19Z,2014-02-20T00:01:19Z,Mountain Standard Time,0
Puma concolor,F64,-111.8754003,38.6070408,423779.39375322184,4273534.289401466,12N,2014-02-20T11:02:04Z,2014-02-20T04:02:04Z,Mountain Standard Time,0
Puma concolor,F64,-111.90608,38.6019086,421102.4609534418,4272990.701658286,12N,2014-02-20T19:00:58Z,2014-02-20T12:00:58Z,Mountain Standard Time,1
Puma concolor,F64,-111.9108447,38.6147258,420701.6735316899,4274417.089408655,12N,2014-02-21T11:01:18Z,2014-02-21T04:01:18Z,Mountain Standard Time,0
Puma concolor,F64,-111.9183242,38.6230436,420059.7283869203,4275346.578251665,12N,2014-02-21T15:01:40Z,2014-02-21T08:01:40Z,Mountain Standard Time,1
Puma concolor,F64,-111.9108569,38.6147119,420700.59607290383,4274415.557507911,12N,2014-02-22T03:00:57Z,2014-02-21T20:00:57Z,Mountain Standard Time,0
Puma concolor,F64,-111.8744964,38.60799,423859.10038860224,4273638.868806535,12N,2014-02-22T07:01:12Z,2014-02-22T00:01:12Z,Mountain Standard Time,0
Puma concolor,F64,-111.9175814,38.6241222,420125.5870539411,4275465.620643799,12N,2014-02-22T11:01:19Z,2014-02-22T04:01:19Z,Mountain Standard Time,0
Puma concolor,F64,-111.9189308,38.6240358,420008.02508691384,4275457.208309838,12N,2014-02-22T15:00:57Z,2014-02-22T08:00:57Z,Mountain Standard Time,1
Puma concolor,F64,-111.9188417,38.6240517,420015.79896154685,4275458.895034262,12N,2014-02-22T23:01:21Z,2014-02-22T16:01:21Z,Mountain Standard Time,1
Puma concolor,F64,-111.9033081,38.6183883,421361.8229231637,4274817.022127926,12N,2014-02-23T03:02:26Z,2014-02-22T20:02:26Z,Mountain Standard Time,0
Puma concolor,F64,-111.8776656,38.6088342,423584.0542533804,4273735.179743273,12N,2014-02-23T07:01:08Z,2014-02-23T00:01:08Z,Mountain Standard Time,0
Puma concolor,F64,-111.8777783,38.609215,423574.64559177664,4273777.529610396,12N,2014-02-23T11:00:53Z,2014-02-23T04:00:53Z,Mountain Standard Time,0
Puma concolor,F64,-111.9176425,38.6222453,420118.1859619542,4275257.399717044,12N,2014-02-23T23:01:20Z,2014-02-23T16:01:20Z,Mountain Standard Time,1
Puma concolor,F64,-111.8777086,38.6086042,423580.0663090922,4273709.693230467,12N,2014-02-24T07:01:20Z,2014-02-24T00:01:20Z,Mountain Standard Time,0
Puma concolor,F64,-111.8777408,38.6086272,423577.2870845216,4273712.2722630575,12N,2014-02-24T11:01:20Z,2014-02-24T04:01:20Z,Mountain Standard Time,0
Puma concolor,F64,-111.9176561,38.6222056,420116.9579995896,4275253.00616142,12N,2014-02-24T19:01:48Z,2014-02-24T12:01:48Z,Mountain Standard Time,1
Puma concolor,F64,-111.9176714,38.6222194,420115.64140159206,4275254.550823128,12N,2014-02-24T23:01:08Z,2014-02-24T16:01:08Z,Mountain Standard Time,1
Puma concolor,F64,-111.9175881,38.6221961,420122.86705367564,4275251.892793421,12N,2014-02-25T07:01:42Z,2014-02-25T00:01:42Z,Mountain Standard Time,0
Puma concolor,F64,-111.9173506,38.6223019,420143.6594437768,4275263.426444109,12N,2014-02-25T11:02:19Z,2014-02-25T04:02:19Z,Mountain Standard Time,0
Puma concolor,F64,-111.9182714,38.6230289,420064.3084035161,4275344.901049213,12N,2014-02-25T15:01:53Z,2014-02-25T08:01:53Z,Mountain Standard Time,1
Puma concolor,F64,-111.9181364,38.6229742,420075.9996837822,4275338.713583316,12N,2014-02-25T23:01:19Z,2014-02-25T16:01:19Z,Mountain Standard Time,1
Puma concolor,F64,-111.9026356,38.6193722,421421.44262650446,4274925.626534543,12N,2014-02-26T03:01:21Z,2014-02-25T20:01:21Z,Mountain Standard Time,0
Puma concolor,F64,-111.9024989,38.6203697,421434.4315251022,4275036.199010545,12N,2014-02-26T07:01:20Z,2014-02-26T00:01:20Z,Mountain Standard Time,0
Puma concolor,F64,-111.9025294,38.6203494,421431.75419912837,4275033.972488985,12N,2014-02-26T11:01:15Z,2014-02-26T04:01:15Z,Mountain Standard Time,0
Puma concolor,F64,-111.9180228,38.6233703,420086.32841140893,4275382.568725699,12N,2014-02-26T15:01:14Z,2014-02-26T08:01:14Z,Mountain Standard Time,1
Puma concolor,F64,-111.9180892,38.6233769,420080.55552230426,4275383.3589247735,12N,2014-02-26T23:01:07Z,2014-02-26T16:01:07Z,Mountain Standard Time,1
Puma concolor,F64,-111.9024481,38.6200417,421438.4960722114,4274999.758381328,12N,2014-02-27T03:01:36Z,2014-02-26T20:01:36Z,Mountain Standard Time,0
Puma concolor,F64,-111.9025053,38.6205786,421434.1022974454,4275059.385478373,12N,2014-02-27T11:01:20Z,2014-02-27T04:01:20Z,Mountain Standard Time,0
